公司代码,公司名,公司评分
603000,人民网,76.6875
002687,乔治白,76.6875
300342,天银机电,76.6875
600452,涪陵电力,76.6875
600638,新黄浦,76.625
300230,永利股份,76.625
002640,跨境通,76.625
002308,威创股份,76.625
300206,理邦仪器,76.5625
600742,一汽富维,76.5625
002382,蓝帆医疗,76.5625
002401,中远海科,76.5625
002300,太阳电缆,76.5
002399,海普瑞,76.5
600717,天津港,76.5
300219,鸿利智汇,76.5
600196,复星医药,76.5
300027,华谊兄弟,76.5
300324,旋极信息,76.5
600757,长江传媒,76.5
002216,三全食品,76.5
600845,宝信软件,76.5
300066,三川智慧,76.4375
002292,奥飞娱乐,76.4375
002221,东华能源,76.4375
601588,北辰实业,76.4375
002144,宏达高科,76.375
600835,上海机电,76.375
000708,大冶特钢,76.3125
002492,恒基达鑫,76.3125
000970,中科三环,76.3125
000917,电广传媒,76.3125
603128,华贸物流,76.25
002051,中工国际,76.25
601222,林洋能源,76.1875
600130,波导股份,76.1875
300197,铁汉生态,76.1875
300024,机器人,76.1875
002696,百洋股份,76.1875
000722,湖南发展,76.125
600969,郴电国际,76.125
300296,利亚德,76.125
600113,浙江东日,76.125
002658,雪迪龙,76.125
601328,交通银行,76.125
300288,朗玛信息,76.125
300285,国瓷材料,76.125
002672,东江环保,76.0625
002468,申通快递,76.0625
000559,万向钱潮,76.0625
600594,益佰制药,76.0625
300049,福瑞股份,76.0625
002230,科大讯飞,76.0625
600378,天科股份,76.0625
600285,羚锐制药,76.0625
000607,华媒控股,76.0625
600479,千金药业,76.0
300127,银河磁体,76.0
000802,北京文化,76.0
002226,江南化工,76.0
002171,楚江新材,76.0
000861,海印股份,76.0
601988,中国银行,75.9375
002177,御银股份,75.9375
300253,卫宁健康,75.9375
002054,德美化工,75.9375
002335,科华恒盛,75.875
002074,国轩高科,75.875
002469,三维工程,75.8125
002334,英威腾,75.8125
600978,宜华生活,75.8125
300055,万邦达,75.8125
600004,白云机场,75.8125
600158,中体产业,75.8125
300010,立思辰,75.75
300203,聚光科技,75.75
600825,新华传媒,75.75
002393,力生制药,75.75
000811,冰轮环境,75.6875
300016,北陆药业,75.6875
601318,中国平安,75.6875
601718,际华集团,75.625
300311,任子行,75.625
300078,思创医惠,75.5625
600481,双良节能,75.5625
002322,理工环科,75.5
000639,西王食品,75.5
600664,哈药股份,75.5
002503,搜于特,75.4375
002556,辉隆股份,75.4375
300303,聚飞光电,75.4375
600640,号百控股,75.4375
002484,江海股份,75.375
002435,长江润发,75.375
000812,陕西金叶,75.375
300002,神州泰岳,75.375
600507,方大特钢,75.375
600687,刚泰控股,75.375
002343,慈文传媒,75.3125
002611,东方精工,75.3125
300229,拓尔思,75.3125
600516,方大炭素,75.3125
300304,云意电气,75.3125
600229,城市传媒,75.25
601288,农业银行,75.25
002592,八菱科技,75.25
001696,宗申动力,75.25
000514,渝 开 发,75.25
002158,汉钟精机,75.25
300274,阳光电源,75.25
002261,拓维信息,75.1875
002587,奥拓电子,75.1875
300225,金力泰,75.1875
002381,双箭股份,75.1875
600061,国投资本,75.1875
300232,洲明科技,75.1875
300018,中元股份,75.125
300213,佳讯飞鸿,75.125
002465,海格通信,75.125
600577,精达股份,75.125
002421,达实智能,75.125
002405,四维图新,75.125
600487,亨通光电,75.0625
300250,初灵信息,75.0625
002475,立讯精密,75.0625
300284,苏交科,75.0625
300137,先河环保,75.0
300119,瑞普生物,75.0
300170,汉得信息,75.0
600588,用友网络,75.0
300302,同有科技,75.0
002657,中科金财,74.9375
600623,华谊集团,74.9375
600621,华鑫股份,74.9375
600120,浙江东方,74.9375
600064,南京高科,74.875
300007,汉威科技,74.875
300310,宜通世纪,74.875
000876,新 希 望,74.8125
002530,金财互联,74.8125
300160,秀强股份,74.8125
300328,宜安科技,74.8125
300075,数字政通,74.8125
600079,人福医药,74.8125
002281,光迅科技,74.75
300046,台基股份,74.75
000413,东旭光电,74.75
600568,中珠医疗,74.75
002502,骅威文化,74.75
002516,旷达科技,74.75
000738,航发控制,74.75
600160,巨化股份,74.75
002402,和而泰,74.75
300215,电科院,74.75
000735,罗 牛 山,74.6875
300257,开山股份,74.6875
300245,天玑科技,74.6875
002400,省广股份,74.6875
002449,国星光电,74.6875
300281,金明精机,74.625
002270,华明装备,74.625
000021,深科技,74.625
300181,佐力药业,74.5625
600850,华东电脑,74.5625
300103,达刚路机,74.5625
